stdno,allowedunits,currentunitsenlisted
2013-98250,15,10
2007-95967,0,0
2012-65733,18,18
2014-70502,18,17
2014-22020,21,21
2013-34826,20,20
2011-62617,18,16
2008-38107,19,0
2012-47799,19,16
2005-05220,0,0
2011-19938,17,15
2012-54229,18,15
2011-22521,21,10
1995-50175,0,0
2009-00079,19,0
2014-70850,17,17
2014-20450,18,16
2012-49551,18,18
2010-41893,21,4
2013-72043,23,22
2014-33361,19,19
2014-51766,20,20
2011-00257,21,6
2013-09818,21,21
2012-17781,18,18
2014-98741,18,18
2005-95425,18,9
2012-46304,20,19
2012-62183,20,19
2008-38301,21,10
2013-68978,21,21
2014-70833,18,18
2011-62176,20,13
2011-48851,16,0
2013-52971,18,15
2000-67275,0,0
2011-62108,18,0
2010-68983,19,3
2014-99035,0,0
1984-40805,0,0
2013-68086,23,23
2005-70894,0,0
2007-96044,0,0
2010-40081,19,14
2008-46570,20,7
2012-18142,12,12
2006-01191,16,3
2011-71518,18,18
2014-12384,18,18
1997-40814,0,0
2014-78707,19,19
2012-50576,18,10
2013-09967,19,19
2012-98105,0,0
2012-97958,19,13
2013-45892,18,18
2013-68974,18,18
2012-09221,20,20
2006-35614,0,0
2012-47298,15,14
2005-52181,0,0
2013-19867,23,22
2011-97685,0,0
2014-62706,18,15
2011-45810,21,3
2013-11871,21,21
2011-42646,20,12
2013-40226,21,21
2014-99182,20,20
2012-09226,18,15
2013-58723,23,23
2010-34491,16,0
2011-07868,18,19
2011-97667,0,0
2011-33328,18,6
2009-48963,21,9
2013-08735,18,18
2012-38429,19,18
2013-05450,18,18
2012-52966,19,19
2013-50909,18,18
2013-11584,21,21
2014-70313,18,18
2014-38336,18,15
2009-17150,20,3
2014-23247,19,18
2014-32989,20,20
2013-74102,21,21
2012-66490,19,18
2011-14911,16,0
2014-72392,20,20
2006-40690,0,0
2013-98456,0,0
2010-52769,18,12
2008-36708,19,0
2013-09094,20,19
2013-98385,18,15
2014-72628,19,19
2012-97828,21,20
2005-76534,0,0
2012-53468,18,8
2012-10342,18,18
2013-04978,20,20
2007-64378,0,0
2004-57860,0,0
2012-29722,18,18
2014-30971,21,21
1985-37563,0,0
2014-04934,18,15
2011-15147,15,15
2000-76420,0,0
2011-04807,20,16
2013-02826,20,18
2009-35570,21,16
2012-65661,19,18
2011-97659,0,0
2005-52880,21,10
2011-48346,21,19
2014-98903,16,16
2009-62465,12,0
2012-16080,23,23
2013-04942,21,21
2012-63697,19,7
2009-19841,21,12
2012-22299,21,19
2014-72673,19,18
2013-68244,12,12
2013-17876,18,18
2010-53715,20,3
2010-28162,19,7
2012-19220,15,15
2013-73252,23,23
2013-98386,18,18
2012-17661,21,19
2010-41894,19,0
2013-51022,17,16
2014-22019,19,19
2011-62195,18,18
2012-51138,18,12
2013-07735,21,21
2013-08540,21,21
2012-24266,15,6
2014-72702,19,19
2013-28247,19,19
2012-97829,21,20
2014-72747,19,19
2014-48798,21,21
2013-07664,21,18
2011-62194,19,18
2009-06794,19,0
2010-15967,19,14
2013-13901,21,19
2010-43767,19,0
2012-37891,18,0
2013-56956,17,16
2013-09449,18,15
2013-72051,18,18
2014-55535,18,18
2013-20425,17,17
2013-06905,18,0
2012-18331,19,18
2013-18231,18,0
2012-98026,0,0
2010-13126,15,15
2014-09518,18,18
2009-18818,21,7
2012-56023,23,23
2012-49776,21,19
2009-55962,19,0
2012-37350,21,13
2011-22599,18,9
2012-97996,20,18
2007-48671,0,0
2013-52060,21,21
2012-98194,12,12
1992-36668,0,0
2013-98632,0,0
2010-44259,16,0
2012-51767,20,17
2014-28142,15,14
2012-18363,18,18
1999-71426,0,0
2009-56553,20,6
2013-29927,18,18
2012-07138,19,19
1999-36738,0,0
2005-43950,0,0
2012-97959,21,13
2011-97539,18,0
2007-39994,0,0
2005-49690,0,0
2014-51201,21,19
2011-62072,20,11
2014-75251,18,18
2012-10764,19,18
2013-01034,18,16
2014-23681,19,17
2012-00177,19,16
2009-81811,21,20
2014-09501,18,18
2011-35480,20,19
2009-61128,15,13
2013-98624,21,21
2006-38837,0,0
2013-21886,18,18
2014-26814,18,18
2013-68087,21,21
2014-70596,19,19
2011-24020,19,16
2013-09013,18,18
2013-04638,18,18
2013-98387,18,18
2007-95894,0,0
2011-35756,19,6
2014-71140,20,20
2012-00343,19,19
2012-18570,18,15
2014-72319,18,18
2011-21530,20,12
2012-09249,18,18
2006-12175,21,12
2010-19851,16,0
2014-99122,0,0
2012-52457,12,12
2013-06156,18,18
2011-38544,16,0
2011-45278,21,0
2011-26509,19,19
1998-43490,0,0
2014-29934,21,21
2012-35414,21,0
2014-71964,19,19
2013-11923,21,21
2013-05468,18,18
2012-11438,12,0
2014-98740,18,18
2012-62864,18,18
2008-01652,21,7
2014-99237,0,0
2013-30162,18,18
2014-42228,18,18
2014-39825,18,18
2012-49778,17,15
2014-99046,0,0
1991-43713,0,0
2014-72746,18,18
2012-98033,0,0
2014-98904,15,10
2012-69906,17,15
2011-26988,19,3
2014-72745,20,20
2008-96242,21,21
2009-96589,15,8
2014-71266,17,17
2014-70508,18,18
2011-97361,21,21
2007-65577,21,6
2011-26567,19,10
2014-65821,21,21
2014-63433,19,18
2013-06543,15,12
2013-24844,20,20
2013-20272,18,18
2014-52317,19,17
2012-10952,19,19
2014-25035,19,19
2014-28583,18,18
2013-56510,18,18
2012-10143,19,19
2014-30146,18,18
2009-96848,0,0
2014-27638,18,18
2014-32207,20,20
1991-43557,0,0
2011-48563,21,20
2013-45594,18,18
2012-21300,19,12
2013-35972,21,18
2013-03572,15,9
2012-36074,12,10
2007-13916,18,17
2014-09247,20,20
2013-08743,21,21
2014-43642,21,20
2012-73476,21,21
2011-40011,15,14
2014-40043,18,18
2013-15080,21,21
2012-21527,18,15
2013-06323,20,20
2013-30586,18,18
2014-99153,0,0
2013-48710,15,15
2012-20643,18,13
2011-49953,20,16
2004-41151,0,0
2012-22652,17,16
2011-24414,17,15
2010-60084,21,20
2011-62861,20,13
2014-29316,18,18
2012-39806,18,9
2012-59174,18,15
2012-68798,19,17
2011-49544,17,17
2011-05922,19,6
2014-72711,20,18
2012-47344,21,21
2013-32021,18,18
2012-43869,19,18
2011-48732,19,6
2014-29935,19,19
2013-40526,20,20
2010-38870,15,3
2014-09226,20,20
2013-39721,22,21
2012-31007,21,13
2013-46381,19,18
2009-55516,19,0
2012-62152,19,15
2013-09511,20,20
1998-41209,0,0
2014-35390,18,18
2014-29526,18,18
2011-45328,19,0
2014-73246,19,19
2006-35256,0,0
2007-62427,20,6
2010-17855,16,0
2014-42363,17,17
2001-95824,0,0
2013-02312,20,20
2014-06043,18,17
2011-30095,18,9
2013-98388,21,21
2012-34553,19,17
2011-10137,18,0
2013-00511,21,21
2007-16460,16,0
2014-71125,21,21
2012-30836,18,3
2014-08968,18,18
2014-35729,20,20
2012-45634,21,18
2013-56445,18,18
2012-29252,15,14
2004-65311,0,0
2014-45793,18,18
2008-96244,21,19
2012-29331,21,17
2011-22496,19,17
2009-51889,16,6
2012-26453,18,7
2012-38857,20,18
2013-98389,20,20
2012-97830,16,14
1991-91725,0,0
2014-98929,0,0
2010-61972,12,11
2012-50324,18,12
2012-17594,21,19
2010-42140,19,0
2006-39751,0,0
2008-38525,0,0
2013-73161,18,16
2013-55696,18,18
2005-29784,0,0
2010-44188,19,0
2011-40861,18,15
2011-59785,18,6
2012-64510,18,15
2004-62303,15,9
2010-49358,19,3
2012-69620,21,21
2013-37687,20,20
2012-60327,19,18
2012-23911,19,16
2013-98524,0,0
1981-01576,0,0
2007-58066,0,0
2014-72100,20,20
2012-02610,21,15
2011-22351,21,19
2014-07881,19,17
2011-29376,21,6
2012-38565,18,13
2013-31056,21,21
2011-22686,19,9
2011-54221,21,15
2011-39208,18,7
2012-01682,18,13
2014-72744,20,20
2014-15983,21,21
2011-65445,18,3
2014-69076,18,18
2008-35029,17,0
2012-12151,21,21
2010-25617,19,0
2010-00424,19,3
2010-45128,18,13
2013-10152,18,18
2009-26060,17,15
2013-98514,0,0
2014-17398,19,18
2014-05889,18,18
2013-98468,0,0
2014-57128,21,20
2010-19288,16,0
2010-48814,16,9
2014-49794,20,20
2014-49795,18,18
2004-42151,0,0
2006-44293,20,20
2009-30087,19,4
2014-01783,18,18
2013-13881,17,17
2010-42021,19,4
2014-09316,18,18
2014-98711,18,17
2011-49996,19,15
2013-32793,20,20
2013-06651,20,18
2012-38492,18,18
2014-61535,19,19
2009-09088,21,12
2013-45554,18,18
2010-41895,20,18
2012-97831,15,0
2013-49940,18,18
2008-01149,18,18
2013-19873,18,18
2014-64428,19,19
2011-22720,19,17
2014-98700,18,15
2011-55768,19,14
2012-58794,19,19
2007-04662,0,0
2009-17262,12,0
2012-04305,17,12
2014-41140,18,18
2012-43970,21,21
2013-53001,18,6
2013-68245,18,0
2013-48238,17,16
2012-97960,18,13
2013-18433,19,18
2011-11006,17,0
2013-04394,15,15
2014-72071,17,17
2010-06440,20,12
2011-12720,19,13
2013-08779,18,18
2012-04393,18,17
2012-23630,18,12
2012-21023,15,12
2005-44865,0,0
2013-55489,18,18
1984-41882,0,0
2013-00886,19,17
2013-09752,21,21
2010-32337,21,13
2014-99088,0,0
2013-33002,18,18
2013-02799,18,18
2011-35388,20,0
1986-39533,0,0
2014-98846,15,14
2013-08192,15,15
2012-53885,18,18
2011-10678,20,9
2014-23987,20,20
2013-22392,18,18
2013-34859,20,19
2014-19213,20,20
2012-71000,17,17
2014-25159,18,18
2013-30959,17,17
2010-09859,20,18
2012-15251,21,21
2012-19407,15,15
2012-66357,21,15
2012-15842,23,9
2014-12798,19,19
2014-29493,17,17
2014-62471,18,18
2005-44403,21,3
2010-56878,21,21
2010-41615,19,6
2013-60746,20,20
2005-48478,0,0
2010-01351,17,0
2001-28873,0,0
2010-97259,0,0
2011-22273,16,0
2010-44163,19,17
2012-21928,18,15
2006-07697,21,20
2011-26568,18,3
2014-32352,20,20
2014-08938,21,21
2010-48813,19,11
2011-11893,12,0
2012-12753,18,9
2013-45722,19,18
1997-60387,0,0
2001-64722,0,0
2011-01249,15,15
2011-19385,18,12
2011-08269,18,18
2008-31483,20,12
2011-47808,18,11
2012-30399,21,19
2009-37402,21,13
2014-45823,18,18
2003-96567,0,0
2007-33195,0,0
2012-05072,20,18
1978-17288,0,0
2013-98447,0,0
2008-07476,0,0
2013-62887,21,19
2011-62275,19,13
2012-59516,19,13
1978-19607,0,0
2014-12902,18,18
2009-60974,17,0
2012-00598,18,13
2013-10250,15,14
2002-40319,0,0
2014-99097,0,0
2009-37842,0,0
2010-00144,19,12
2007-31456,0,0
2011-97589,0,0
2010-49571,21,16
2013-71201,20,20
2010-24918,16,0
2011-97345,21,20
2012-97962,18,13
2012-97961,12,12
2012-66048,19,16
2012-18963,18,13
2014-71491,18,17
2010-01251,17,15
2013-38007,17,17
2012-10051,18,12
2014-57063,17,16
2013-06517,18,15
2013-19774,18,18
2013-56998,21,21
1979-29785,0,0
2014-11790,20,19
2011-62277,20,16
2010-58408,18,0
2011-50135,21,20
2012-48821,21,18
2011-21414,15,9
2011-20391,16,3
2014-51485,18,18
2014-56077,19,19
2011-38689,18,15
2012-03696,18,6
2010-41309,17,0
2011-35172,17,12
2014-32354,18,18
2014-08176,20,19
2014-99210,0,0
2014-52751,18,18
2009-62065,18,3
2013-25424,19,17
2011-49545,16,9
2010-44348,19,0
2014-10218,18,18
2014-52110,20,20
2009-00203,19,0
2011-22059,20,18
2011-43668,16,0
2013-36051,21,19
2008-02137,18,15
2014-15851,18,18
2003-49228,0,0
2009-96715,18,0
2014-20684,19,19
2008-13774,18,5
2012-17662,17,15
2012-17386,18,18
2003-57482,0,0
2010-38530,18,10
2009-57349,15,14
2010-96939,18,18
2014-00813,20,20
2014-72656,20,20
2010-24129,19,17
2014-51126,20,18
2009-60855,18,4
2011-18370,20,6
2007-19242,21,9
2014-52750,17,17
2011-62600,20,10
2003-56575,0,0
2011-62364,19,13
2012-11103,19,18
2014-24343,18,17
2013-68112,19,17
2014-53480,20,20
2012-15245,18,15
2013-01155,18,15
2014-99178,18,0
2008-07214,20,13
2014-71718,20,20
2010-28719,18,4
2014-98712,18,18
2013-98251,18,18
2012-19219,18,18
2012-55399,21,20
2012-17322,19,10
2013-68253,18,15
2011-97753,0,0
2010-32407,15,12
2001-96042,0,0
2010-60444,21,9
2007-03828,21,13
2006-36482,0,0
2012-64295,18,15
2014-98905,15,13
2011-42194,21,0
2014-24850,18,18
2012-14935,19,16
2012-27690,18,9
2008-35856,18,0
2014-47669,18,18
2012-18134,19,17
2014-99043,0,0
2009-00996,19,0
2013-98390,21,21
2013-19876,19,19
2002-66722,0,0
2013-75420,17,14
2014-71444,18,18
2011-20160,15,11
2011-22957,18,12
2012-57632,21,12
2012-27629,18,12
1989-45713,0,0
2007-66930,19,2
2013-66354,19,18
2002-71198,0,0
2012-27967,19,17
2014-00692,20,20
2014-32356,18,15
2011-62917,19,13
2012-07362,19,19
2012-09296,12,6
2012-07883,19,18
2011-08270,12,14
2011-15853,20,19
2010-57236,17,0
2003-47780,0,0
2006-02630,21,6
2014-50827,18,18
2014-62532,18,18
2014-52639,18,18
2013-47595,18,18
2012-18199,18,3
2004-40498,0,0
2014-30560,20,19
2013-00615,18,15
2009-16016,15,15
2010-50440,19,0
2014-30934,18,15
2011-29691,17,6
2012-17499,18,15
2012-40375,17,15
2014-99013,0,0
2011-10636,21,18
2012-11186,19,14
2013-22569,20,18
2007-42552,0,0
2014-26815,18,18
2013-45106,18,18
2013-21785,18,18
2012-36865,21,21
2014-04280,18,18
2005-07138,0,0
2007-57563,0,0
2012-14485,15,14
2012-29414,19,15
2014-20991,18,18
2014-99159,0,0
2011-38483,19,3
2014-14204,18,18
2011-25249,20,3
2013-08065,21,21
2014-21496,18,18
2008-22036,12,3
2009-11845,16,10
2011-44423,21,16
2014-24466,19,19
2009-60172,16,0
2012-17223,19,16
2011-21023,18,3
2013-47576,19,19
2013-02327,19,19
2014-45795,21,21
2012-17515,18,13
2011-62487,18,15
2012-37884,18,15
2011-04852,21,18
2010-41145,19,0
2013-27190,23,22
2011-00921,17,0
2011-35511,20,14
2011-42606,20,19
2007-96040,0,0
2009-96562,15,13
2013-13871,18,18
1984-02834,0,0
2007-96020,18,10
2013-41009,17,17
2014-99106,0,0
2012-10082,18,18
2012-20437,20,18
2013-57602,23,16
2010-40557,18,6
2012-98095,0,0
2013-74793,18,18
1997-94307,15,7
1990-43897,0,0
2010-18279,20,18
2011-06606,19,19
2014-59772,18,16
2007-55821,19,0
2010-67517,19,6
1999-27827,0,0
2012-54181,17,15
2011-22705,19,7
2012-52967,21,21
2014-99228,0,0
2009-37556,15,14
2013-15930,21,21
2013-46595,18,15
2014-61542,18,18
2012-54702,18,18
2014-99243,0,0
2013-09444,21,21
2013-02754,21,21
2013-34000,20,18
2012-09704,18,15
2014-98713,18,18
2010-67969,18,18
2014-71849,18,18
2006-39698,21,20
2012-77524,21,18
2009-96729,19,0
2013-50261,23,22
2013-17639,18,18
2010-17393,20,18
2014-71598,18,18
2014-72014,18,18
2014-72674,20,20
2013-09806,20,18
2013-98520,0,0
2011-63026,15,15
2006-59105,0,0
1995-51827,0,0
2014-05006,19,18
1993-92543,0,0
2012-98054,0,0
2011-62088,24,16
2012-18365,18,18
2014-99004,0,0
2007-67813,19,7
2014-36181,18,17
2011-19162,18,10
2012-59458,18,18
2007-00099,0,0
2011-48466,18,13
2011-08799,18,18
2011-03571,18,15
2010-97022,19,15
2012-22099,21,16
2007-57104,0,0
2010-08790,21,19
2014-00552,20,20
2010-40766,18,3
2010-29759,20,6
2009-10597,18,0
2010-33329,21,19
2013-20069,18,18
2010-11542,18,7
2007-00352,21,10
2013-98449,0,0
2007-67814,18,0
2011-53926,16,0
2011-24062,16,0
2012-18826,18,12
2008-09555,18,11
2013-18239,21,21
2014-98906,16,14
2004-65035,0,0
2012-19818,21,10
2011-63528,18,9
2012-06362,19,18
2014-06087,19,19
2012-06358,18,18
2010-97131,0,0
2014-23252,18,18
2010-41321,19,6
2014-77309,20,23
2013-05149,18,15
2014-44921,18,18
2014-12753,21,21
2008-00632,0,0
2010-48678,19,0
2012-59640,19,3
2013-34751,21,19
2005-72113,16,0
2012-32698,18,3
2013-62546,18,18
2014-18105,20,19
2014-78327,18,17
2010-19256,21,15
2014-33220,17,17
2010-06441,16,0
2011-46281,21,21
2012-18842,20,14
2012-55398,17,17
2013-28743,21,21
2012-53933,20,11
2014-05892,21,21
2009-19815,0,0
2014-72657,19,19
2011-19944,20,19
2011-29552,21,19
2013-98517,0,0
2013-37541,18,0
2013-46066,18,16
2012-10600,20,19
2013-08546,20,20
2012-53445,21,12
2012-36418,18,18
2008-38137,21,7
2011-43143,15,0
2014-15902,18,18
2013-57341,17,17
2013-09773,18,18
2008-09830,21,4
2014-26818,21,19
2014-16712,17,17
2013-68037,21,21
2014-23007,18,16
2014-71156,21,18
2014-99009,0,0
2013-50806,15,14
2013-03825,15,13
2012-57162,18,15
2014-65718,18,18
2011-97767,18,18
2014-09725,21,21
2011-21512,21,20
2011-46597,19,0
2009-20906,19,9
2014-72658,17,17
2014-09411,19,18
1981-92183,0,0
2010-57138,18,18
2013-22409,18,18
2011-15316,21,7
2008-65466,0,0
2014-51209,19,19
2006-32000,21,9
2014-51041,18,17
2012-98139,0,0
2000-95426,0,0
2014-03460,18,18
2011-48886,19,15
2013-08066,18,18
2009-27056,17,0
2012-32941,21,19
2013-36616,20,19
2013-48844,18,17
2012-01161,21,9
2012-98061,0,0
2012-18122,18,13
2014-23253,18,18
2011-62541,19,11
2013-05959,21,21
2014-19892,19,19
2011-97751,0,0
2012-29257,19,17
2014-20571,20,20
1988-40299,0,0
2013-06304,23,22
2012-70283,18,11
2012-17918,21,21
2013-27823,20,19
2014-73166,17,17
2011-07732,21,13
2013-27780,15,15
2012-00579,19,15
2013-22000,18,18
2013-98392,18,15
2011-21461,19,6
2011-62312,21,17
2014-49069,20,20
2014-24462,20,20
2005-46255,0,0
2010-17232,17,0
2014-98735,18,18
2010-67003,18,18
2014-30461,18,18
2008-37712,20,20
2014-14925,21,21
2011-33289,20,18
2011-22133,21,18
2014-74758,20,20
2012-07665,18,6
1986-38916,0,0
2011-16019,18,12
2013-01158,20,20
2014-08796,19,19
2013-98252,18,18
2007-59633,21,14
2013-98393,18,18
2013-30011,20,18
2013-38754,21,19
2014-42202,22,22
2012-45412,21,21
2012-04297,20,18
2010-06139,19,4
2011-20600,15,7
2013-41874,18,16
2011-27591,12,0
2009-35035,15,12
1999-34520,0,0
2011-41710,20,10
2014-61549,21,21
2013-22441,17,17
2012-18285,18,14
2013-56672,18,17
2010-03213,18,3
2010-96940,18,9
2013-15537,18,18
2014-23118,18,18
2014-24742,19,19
2012-55471,17,15
2010-97276,19,0
1995-59684,0,0
2014-09702,15,15
2013-71346,18,9
2011-62529,18,15
2011-21575,18,16
2013-45882,21,19
2013-22548,21,21
2012-97964,18,18
2000-46599,21,0
2012-38493,19,19
2012-00248,20,15
2011-18325,16,0
2012-98092,18,9
2011-42965,19,3
2013-06937,17,16
2013-06892,19,11
2011-18723,18,3
2009-64162,21,0
2011-97341,12,11
2012-52116,21,15
2014-45278,20,19
2011-64362,20,17
2004-95252,0,0
2012-47928,17,15
2008-38466,19,0
2014-72157,19,19
2010-21619,19,0
2013-26048,18,18
2014-48347,20,19
2013-09476,19,17
2007-65549,0,0
2005-65655,0,0
2012-28061,19,17
2012-45886,17,14
2014-34402,18,18
2004-95274,0,0
2012-37827,15,14
2013-98394,20,14
2011-62215,16,0
2011-48677,18,0
2014-99102,0,0
2007-95986,0,0
2012-37760,18,18
2014-24150,17,17
2013-42272,21,21
2014-98907,16,13
2014-98908,16,16
2013-33674,21,21
2013-39720,19,18
2009-23565,19,6
2003-81695,18,16
2006-39753,0,0
2008-07138,17,0
2011-06982,18,18
2014-19784,19,19
2009-50692,19,4
2012-17919,17,15
2014-08913,18,18
2014-54820,18,18
2002-96297,0,0
2012-13366,19,18
2014-10309,20,23
2014-52112,19,19
2011-28413,21,12
2012-22940,18,18
2013-98458,0,0
2012-38432,21,21
2012-70952,19,19
2007-37985,0,0
2014-72339,20,18
2013-06733,18,18
2008-07279,19,0
2014-72638,18,18
2012-51231,12,3
2012-18369,18,15
2013-01940,20,18
2011-06646,19,19
2010-04537,22,22
2013-03931,17,17
2012-48824,21,21
2012-32655,20,18
2011-62166,24,12
2012-97965,12,9
2012-38433,12,11
2012-16422,15,15
2005-46664,0,0
2014-59520,19,19
2006-38746,0,0
2012-97832,21,21
2010-20562,19,9
2012-03568,18,18
2009-17151,12,12
2014-28162,18,18
2014-36546,20,20
2012-08652,21,19
2014-12643,21,21
2014-23054,18,18
2013-14598,20,18
2011-50040,16,0
2012-20363,18,12
2012-28109,19,6
2014-00300,19,19
2012-60089,19,18
2013-09026,19,17
2011-48807,18,18
2013-29966,18,18
2010-28555,20,20
2011-97483,21,9
2010-42591,21,19
2013-55598,18,18
2014-28587,18,18
2013-09014,18,18
2003-30997,0,0
2011-17211,19,6
1980-08929,0,0
2013-74114,18,15
2014-83896,17,17
2011-30867,18,18
2013-55415,20,20
2013-07447,18,18
2014-10667,19,19
1978-18109,0,0
2014-72729,19,18
2013-04690,17,17
2011-97475,18,12
2012-61521,18,9
2014-32361,18,18
2011-03365,18,15
2013-00565,20,18
2011-45936,16,3
2013-09052,18,18
1987-39157,0,0
2010-29846,18,18
2012-57604,18,13
2013-26084,20,20
2012-39418,20,20
2010-70055,18,18
2010-04402,21,18
2012-27998,19,17
2012-00612,19,17
2010-97290,0,0
2014-80514,15,14
2010-14581,19,3
2011-01404,21,20
2013-45780,21,20
2013-15655,19,17
2011-97336,21,21
2012-45016,18,13
2002-69310,0,0
2013-06157,21,21
2013-23228,18,18
2013-16738,21,21
2012-97860,0,0
2012-13419,15,12
2013-98654,19,0
2012-98080,0,0
2009-48400,19,0
2013-72896,20,18
2012-33084,19,18
2014-05795,17,17
2012-23494,21,20
2012-44077,19,16
2013-02341,18,18
2011-09274,12,11
2010-43026,18,18
2013-39072,21,19
2014-61294,20,19
2013-20829,18,18
2012-01875,18,3
1995-91513,0,0
2011-25455,19,17
2012-60102,18,14
2006-10785,0,0
2014-26409,18,17
2014-64431,20,20
2011-97556,0,0
2011-42926,21,20
2008-13107,0,0
2014-16752,21,20
2013-46245,18,18
2008-20495,19,0
2014-37777,18,15
2012-97966,18,6
2014-00963,18,18
2013-06970,18,18
2012-97989,0,0
2011-42200,21,12
2013-08691,20,20
2006-10995,0,0
2014-41321,19,17
2012-17368,17,8
2011-58186,18,3
2012-88619,0,0
2013-68247,21,21
2013-36514,20,20
2010-09083,19,18
2014-99037,0,0
2014-62254,18,18
2013-37231,21,21
2014-98935,0,0
2013-46817,18,15
1982-41442,0,0
2009-07364,16,3
2013-05958,18,15
2014-70620,18,18
2013-53014,18,18
2012-43856,19,17
2011-62608,21,21
2009-50547,18,3
2012-97833,15,3
1996-66751,0,0
2014-29660,18,17
2012-57702,19,18
2014-72156,18,15
2014-71566,19,18
2013-75780,18,0
2012-00595,17,15
2009-32073,18,6
2012-52347,18,16
2014-72730,18,18
2010-43044,16,0
2013-98610,0,0
2007-17900,18,0
2014-06515,18,18
2012-97967,19,19
1985-93364,0,0
2013-07651,21,21
2012-30798,18,18
2013-02352,21,21
2014-99254,0,0
2008-07043,19,0
2004-62343,0,0
2014-46158,19,19
2014-65870,18,18
2008-37717,18,18
2010-07849,16,0
2007-13539,18,9
2013-08623,21,21
2012-19138,18,13
2014-54826,19,19
2013-29755,18,18
2014-65513,20,20
2014-57869,17,17
2011-08384,19,9
2011-28098,20,9
2013-21976,21,21
2013-06938,21,18
2014-99101,0,0
1997-94604,0,0
2014-33475,19,19
2011-21430,18,18
2013-42274,21,21
2011-08809,21,18
2014-99022,0,0
2012-20804,18,18
2013-98521,0,0
2003-27305,0,0
2012-98037,0,0
2014-40865,18,18
2012-00882,21,15
2005-45114,0,0
2014-10111,18,18
2011-64394,20,10
2012-98051,0,0
1986-34240,0,0
2013-37434,20,20
2009-60357,0,0
2014-70879,18,18
2010-13949,18,11
2013-98396,18,18
2007-17635,0,0
2014-80205,18,18
2011-42925,15,15
2010-41323,15,15
2013-15611,18,18
2012-10920,19,17
2011-63099,18,18
2010-30639,19,7
2012-38123,20,18
2012-10227,18,9
2014-51216,18,18
2010-59045,19,10
2014-99117,0,0
2008-96287,0,0
2010-04070,17,12
2009-09718,16,0
2014-71850,21,20
2013-56900,17,17
2014-98796,20,20
2007-61105,0,0
2014-99040,0,0
2010-18109,18,12
2006-17715,0,0
2014-16537,19,19
2014-09285,18,18
2009-39365,19,6
2013-65448,21,21
2012-28973,21,18
2013-98650,0,0
2014-99229,0,0
2009-62995,19,3
2005-10230,19,0
2012-97968,18,18
2013-75314,20,14
2012-15032,19,15
2014-32641,19,18
2013-10561,18,18
2012-40006,18,15
2012-31334,15,15
2013-27700,21,21
2012-58807,18,18
2011-59519,21,21
2014-19894,19,19
2012-51901,21,10
2014-64575,18,18
2014-72731,21,21
2014-19123,18,18
2012-44071,18,18
2013-35367,18,11
2010-19857,18,15
2013-78010,20,16
2013-68609,18,18
2010-43966,17,15
2007-96031,19,9
2012-00017,19,18
2013-36673,18,18
2007-50097,21,19
2012-10085,19,18
2014-03286,18,17
2011-49592,19,13
2014-28592,18,18
2010-42903,20,9
2013-39688,18,18
2011-58838,12,12
2012-11629,18,15
2013-09816,18,0
2012-37965,18,18
2009-37847,12,12
2012-57605,15,14
2014-77892,19,19
2010-97200,15,14
2012-60159,21,19
2007-14356,0,0
2014-33727,18,18
2010-01085,19,12
2011-46870,18,7
2014-71948,18,18
2014-34739,19,19
2013-26156,18,18
2012-10834,18,3
2013-45557,18,0
2014-57378,19,18
2010-21839,15,14
2011-15152,19,14
2014-47322,19,19
2014-99131,0,0
2012-37815,17,15
2014-99127,0,0
2009-68101,13,0
2013-08503,18,15
2013-45600,21,21
2012-38436,19,4
2014-36874,19,19
2010-05196,0,0
1979-33557,0,0
2013-56446,18,18
2008-81466,0,0
2012-32942,19,17
2013-05077,18,9
2013-48404,21,21
2012-48954,18,15
2014-12781,17,17
2012-15832,17,15
2011-28870,19,19
2014-08772,18,18
2013-61844,21,21
2012-58887,19,16
2014-64933,17,17
2011-36302,21,18
2014-72708,20,20
2009-06870,21,19
2014-41099,19,19
2012-59329,18,15
2014-53530,19,19
2007-96009,0,0
2014-71933,18,17
2012-37893,21,19
2010-13990,19,3
2011-62635,15,15
2014-53531,20,19
2014-28166,17,15
2014-72489,20,19
2012-98124,0,0
2014-03124,18,18
2014-15359,18,18
2011-19962,19,9
2013-25215,17,17
2011-08636,19,9
2012-19782,18,18
2013-21652,21,21
2012-17360,18,18
2007-24835,19,0
2014-02324,18,15
2014-71402,19,19
2013-12426,18,18
2014-25918,19,19
2012-34060,18,12
2014-15650,19,19
2013-48469,20,20
2014-00013,18,18
2014-30145,18,18
2014-98909,15,14
2006-49622,0,0
2011-63138,18,0
2003-96629,0,0
2014-47839,18,15
2013-09724,21,19
2008-23615,0,0
2009-08973,17,15
2014-56738,20,19
2014-07981,18,18
2007-51234,18,0
2014-99041,0,0
2012-37492,21,21
2012-32225,18,12
2014-33919,17,15
2011-10931,21,0
2012-19819,18,6
2007-67816,16,6
2011-14915,16,0
2014-28397,18,18
2012-98120,0,0
2010-24759,18,18
2010-96941,18,12
2012-01400,18,15
2011-34746,18,18
2010-24967,19,18
2007-12303,19,9
2014-83908,18,18
2011-22621,20,3
2008-07377,20,3
2013-56447,21,21
2011-62192,19,0
2014-99017,0,0
2014-68112,18,18
2012-98137,0,0
2010-96942,21,18
2013-40681,15,15
2014-30627,18,18
2013-68089,21,19
1983-35384,0,0
